Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Peru,PER,2014,Annualized Mean Income Growth (2004-2014),5.0.AMeanIncGr.All,4.07865692
Peru,PER,2014,Annualized Mean Income Growth Bottom 40 Percent (2004-2014),5.0.AMeanIncGr.B40,6.48736384
Peru,PER,2009,Annualized Mean Income Growth (2004-2009),5.1.AMeanIncGr.All,5.05714401
Peru,PER,2009,Annualized Mean Income Growth Bottom 40 Percent (2004-2009),5.1.AMeanIncGr.B40,7.20753731
Peru,PER,2014,Annualized Mean Income Growth (2009-2014),5.2.AMeanIncGr.All,3.10928331
Peru,PER,2014,Annualized Mean Income Growth Bottom 40 Percent (2009-2014),5.2.AMeanIncGr.B40,5.77202817
Peru,PER,2014,Consumption per capita (2011 $),6.0.Conspc,6748.85302734375
Peru,PER,2013,Consumption per capita (2011 $),6.0.Conspc,6567.19287109375
Peru,PER,2012,Consumption per capita (2011 $),6.0.Conspc,6318.37451171875
Peru,PER,2011,Consumption per capita (2011 $),6.0.Conspc,6034.763671875
Peru,PER,2010,Consumption per capita (2011 $),6.0.Conspc,5768.68310546875
Peru,PER,2009,Consumption per capita (2011 $),6.0.Conspc,5374.541015625
Peru,PER,2008,Consumption per capita (2011 $),6.0.Conspc,5292.80615234375
Peru,PER,2007,Consumption per capita (2011 $),6.0.Conspc,4921.541015625
Peru,PER,2006,Consumption per capita (2011 $),6.0.Conspc,4585.3017578125
Peru,PER,2005,Consumption per capita (2011 $),6.0.Conspc,4370.2275390625
Peru,PER,2004,Consumption per capita (2011 $),6.0.Conspc,4268.03076171875
Peru,PER,2003,Consumption per capita (2011 $),6.0.Conspc,4179.208984375
Peru,PER,2002,Consumption per capita (2011 $),6.0.Conspc,4128.2568359375
Peru,PER,2001,Consumption per capita (2011 $),6.0.Conspc,3987.48657226563
Peru,PER,2000,Consumption per capita (2011 $),6.0.Conspc,4000.62377929688
Peru,PER,2014,GDP (current $),6.0.GDP_current,202596307719.116
Peru,PER,2013,GDP (current $),6.0.GDP_current,201848484663.508
Peru,PER,2012,GDP (current $),6.0.GDP_current,192679697094.166
Peru,PER,2011,GDP (current $),6.0.GDP_current,170564249004.954
Peru,PER,2010,GDP (current $),6.0.GDP_current,148522048127.964
Peru,PER,2009,GDP (current $),6.0.GDP_current,121192333742.779
Peru,PER,2008,GDP (current $),6.0.GDP_current,121572308725.52
Peru,PER,2007,GDP (current $),6.0.GDP_current,102170980824.545
Peru,PER,2006,GDP (current $),6.0.GDP_current,87862091339.4002
Peru,PER,2005,GDP (current $),6.0.GDP_current,74947898079.8981
Peru,PER,2004,GDP (current $),6.0.GDP_current,66695121799.7539
Peru,PER,2003,GDP (current $),6.0.GDP_current,59030590739.2504
Peru,PER,2002,GDP (current $),6.0.GDP_current,54436633339.9665
Peru,PER,2001,GDP (current $),6.0.GDP_current,51592365725.0363
Peru,PER,2000,GDP (current $),6.0.GDP_current,50980861887.1601
Peru,PER,2014,GDP growth (annual %),6.0.GDP_growth,2.35025382041931
Peru,PER,2013,GDP growth (annual %),6.0.GDP_growth,5.77036809921265
Peru,PER,2012,GDP growth (annual %),6.0.GDP_growth,5.95034646987915
Peru,PER,2011,GDP growth (annual %),6.0.GDP_growth,6.45221614837646
Peru,PER,2010,GDP growth (annual %),6.0.GDP_growth,8.45074653625488
Peru,PER,2009,GDP growth (annual %),6.0.GDP_growth,1.04923236370087
Peru,PER,2008,GDP growth (annual %),6.0.GDP_growth,9.14314842224121
Peru,PER,2007,GDP growth (annual %),6.0.GDP_growth,8.51844215393066
Peru,PER,2006,GDP growth (annual %),6.0.GDP_growth,7.52881669998169
